county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income
"Marion County, Oregon",1,41047,335553,6.8,7,13.8,34774,3.33,3356,8696,12052,34.65807787,85.3,22.8,12.6,87.3,2.1,26.3,3.1,21.3,432,0.001287427,65803,81586
"Morrow County, Oregon",1,41049,11215,7.8,7.2,15,1314,3.25,101,196,297,22.60273973,75.3,10.9,16.9,91.7,0.9,35.9,0.9,22.8,5,0.000445831,60442,71167
"Multnomah County, Oregon",1,41051,798647,5.7,5.6,11.3,78218,3.09,6437,17707,24144,30.86757524,91.3,44.5,14,82.8,7.2,11.4,9.5,19,627,0.000785078,81564,107306
"Polk County, Oregon",1,41053,81427,5.7,6.4,12.1,8330,3.17,693,1597,2290,27.4909964,90.4,30.1,8,91.8,1.5,13.7,3,14.9,37,0.000454395,72243,83368
"Sherman County, Oregon",1,41055,1605,4,5.2,9.2,110,2.66,19,26,45,40.90909091,91.4,19.5,1.1,97.5,0.6,3.6,0.2,17,1,0.000623053,64188,93254
"Tillamook County, Oregon",1,41057,26076,4.7,5.3,10,2231,2.89,312,482,794,35.58942178,90.3,21,5.3,95.9,1,10.3,1.8,22.5,6,0.000230097,58909,75013
"Umatilla County, Oregon",1,41059,76898,6.8,7.2,14,8731,3.24,558,2540,3098,35.48276257,82.2,16.2,10.9,89.2,1.7,26.4,1.8,27.2,36,0.000468153,61914,74876
"Union County, Oregon",1,41061,26028,6,6.2,12.2,2783,2.89,253,690,943,33.88429752,92.3,24.8,3.7,94.9,1.2,4.7,1.8,18.7,4,0.000153681,60686,78453
"Wallowa County, Oregon",1,41063,6924,4.7,5.7,10.4,638,2.64,84,154,238,37.30407524,92.5,24.7,2.4,97.4,0.7,2.9,0.9,26.9,1,0.000144425,62526,77361
"Wasco County, Oregon",1,41065,25866,6.3,6.3,12.6,2655,2.95,293,605,898,33.82297552,85.8,20.5,8.4,89.7,1.2,17.8,1.6,17.1,11,0.000425269,60438,74727
"Washington County, Oregon",1,41067,581821,6.3,6.6,12.9,69214,3.17,4664,12252,16916,24.44014217,91.6,43.7,17.5,80.9,3.1,16.5,12.8,12.3,464,0.000797496,91840,113317
"Wheeler County, Oregon",1,41069,1426,4.8,5.3,10.1,79,2.66,7,13,20,25.3164557,92.1,14,3.6,98.9,0,9.7,1.5,35.2,0,0,49500,58492
"Yamhill County, Oregon",1,41071,103820,5.8,6.4,12.2,10193,3.22,609,2457,3066,30.0794663,88.3,26.5,8.6,92.1,1.5,15.8,2.9,19.8,31,0.000298594,70813,90095
