county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Jasper County, Indiana",0,18073,33449,5.808843314,6.858202039,12.66704535,8784,3.1,703,1133,1836,20.90163934,42.3,10,2.5,96.5,1.8,6,0.8,11.1,32,0.095668032,69205,76586,,,0.017366269,0.020503459,
"Jay County, Indiana",0,18075,20993,7.130948411,6.311627685,13.4425761,5391,3.05,519,830,1349,25.02318679,47.2,7,1,98.7,0.7,3,0.7,23.2,16,0.076215881,58667,69326,,,0.03396822,0.030065392,
"Jefferson County, Indiana",0,18077,32237,5.927970965,5.074913919,11.00288488,8741,2.77,839,1656,2495,28.54364489,42.3,11.2,1.1,96.3,2.7,2.7,1,22.8,29,0.089958743,60483,74170,,,0.018388718,0.015742513,
"Jennings County, Indiana",0,18079,27727,6.188913334,6.481047355,12.66996069,7126,3.14,706,1057,1763,24.74038731,45.9,7.9,1.3,97.8,1.7,2.4,0.2,21.1,76,0.274101057,62000,69126,,,0.022320891,0.023374499,
"Johnson County, Indiana",0,18081,151564,6.497585179,7.627800797,14.12538598,40352,3.15,2667,5894,8561,21.21580095,31,21.3,4.3,93,2.8,3.5,3.4,12.4,549,0.362223219,82443,98157,,,0.004287024,0.005032726,
"Knox County, Indiana",0,18083,37409,5.859552514,7.067817905,12.92737042,9752,2.88,701,1970,2671,27.38925349,35.8,10.3,1,95.5,3.6,1.9,1,24.2,20,0.05346307,60120,71529,,,0.015663483,0.018893362,
"Kosciusko County, Indiana",0,18085,78806,6.443671802,6.919523894,13.3631957,21685,2.93,1404,3101,4505,20.77472908,35.2,14.4,4.5,95.4,1.4,7.9,1.6,14.1,35,0.044412862,66984,83500,,,0.008176626,0.008780453,
"LaGrange County, Indiana",0,18087,38942,9.177751528,9.354938113,18.53268964,9446,3.67,353,1052,1405,14.87402075,32.4,7.8,1.8,99.5,0.3,4,0.6,8.3,23,0.059062195,67980,81512,,,0.023567746,0.024022747,
"Lake County, Indiana",0,18089,486849,6.100454145,6.561993554,12.6624477,122498,3.23,10437,30407,40844,33.34258519,35,14.8,6.9,64.4,25.4,18.7,1.9,26.8,218,0.044777744,66566,81928,,,0.001253049,0.00134785,
"LaPorte County, Indiana",0,18091,110552,5.976373109,5.781894493,11.7582676,28028,2.91,2566,5469,8035,28.66776081,39.3,11.8,3.5,85.6,13.1,6.5,0.9,28.8,1837,1.661661481,62940,77941,,,0.005405938,0.005230023,
"Lawrence County, Indiana",0,18093,45619,5.464828251,6.510445209,11.97527346,12943,2.89,851,2045,2896,22.37502897,43.4,9.7,1.3,97.9,1,1.6,0.9,15.7,86,0.188517942,62199,71572,,,0.011979281,0.014271346,
"Madison County, Indiana",0,18095,129505,5.772750087,5.811358635,11.58410872,33990,2.91,2622,7093,9715,28.58193586,39,12,1.9,90.4,9.7,3.9,0.8,25.4,379,0.292652793,59298,70088,,,0.00445755,0.004487362,
"Marion County, Indiana",0,18097,944523,7.344236191,6.986489477,14.33072567,204538,3.38,18001,56974,74975,36.65578034,28,19.8,9.4,65.1,30,10.2,3.7,28.5,5415,0.573305256,59595,80375,,,0.00077756,0.000739684,
"Marshall County, Indiana",0,18099,46595,6.176628394,6.72818972,12.90481811,11921,3.24,832,1549,2381,19.97315661,39,12.4,4.4,94.8,1.4,9.8,1.2,13.8,29,0.062238438,64830,79301,,,0.01325599,0.014439725,
"Martin County, Indiana",0,18101,10210,6.219392752,4.897159647,11.1165524,2682,2.95,286,314,600,22.37136465,43.2,8.8,0.3,98.6,0.8,1,0.1,17.7,7,0.068560235,65439,73691,,,0.060914718,0.047964345,
"Miami County, Indiana",0,18103,35901,5.189270494,6.155817387,11.34508788,9318,2.96,588,1570,2158,23.15947628,42.5,8,1.1,92.3,5.7,3.1,0.7,26,107,0.298041837,58986,67926,,,0.01445439,0.017146646,
"Monroe County, Indiana",0,18105,145403,4.40293529,4.515037516,8.917972807,29135,2.89,1894,5457,7351,25.23082204,21.9,23.9,8.3,89.4,4.7,3.4,7.9,20.1,118,0.081153759,70445,89924,,,0.003028091,0.003105189,
"Montgomery County, Indiana",0,18107,38276,5.975023513,6.437454279,12.41247779,10315,2.89,825,1396,2221,21.53174988,41.3,12.6,3,97.8,1.7,4.8,1,14.1,88,0.229909081,65813,77340,,,0.015610366,0.016818514,
"Morgan County, Indiana",0,18109,69727,5.739527012,6.171210578,11.91073759,18650,3.08,1330,2553,3883,20.82037534,40,11.2,1.3,98.7,0.8,1.5,0.8,16.8,151,0.216558865,71290,84083,,,0.008231427,0.008850532,
"Newton County, Indiana",0,18111,14018,5.228991297,6.077899843,11.30689114,3836,2.96,231,652,883,23.01876955,44.2,7.8,3.6,97.4,0.3,6.2,0,23.9,54,0.385219004,61260,69088,,,0.037301978,0.043357825,
"Noble County, Indiana",0,18113,47451,6.474046912,6.912393838,13.38644075,12754,3.06,1028,1743,2771,21.72651717,40.7,10.1,4.8,98.4,0.7,10.2,0.7,8.6,59,0.124338792,64824,76441,,,0.013643647,0.014567436,
"Ohio County, Indiana",0,18115,5887,4.688296246,6.811618821,11.49991507,1756,2.76,83,184,267,15.20501139,45.6,8.6,0.8,97.8,1.2,1.1,0.6,5.3,4,0.067946322,70417,81151,,,0.079638122,0.115706112,
"Orange County, Indiana",0,18117,19547,5.990689108,5.658157262,11.64884637,5293,2.99,557,871,1428,26.97902891,45.1,6.9,1.5,97.6,1.8,1.5,0.6,22.2,92,0.470660459,57099,67451,,,0.030647614,0.028946423,
"Owen County, Indiana",0,18119,20878,5.364498515,5.795574289,11.1600728,5888,2.8,561,812,1373,23.31861413,42.6,7.3,1.3,98.5,1.1,1.2,0.8,27.6,22,0.105374078,60111,66836,,,0.025694504,0.027759241,
"Parke County, Indiana",0,18121,16996,6.236761591,5.983760885,12.22052248,4442,2.91,281,549,830,18.6852769,43.4,8.2,1.3,97.7,2.1,1.5,0.2,20.8,12,0.070604848,57171,71702,,,0.036695467,0.035206877,
"Perry County, Indiana",0,18123,19141,5.595318949,5.323650802,10.91896975,4928,2.83,307,753,1060,21.50974026,47,8.3,1,96.1,3.6,1.4,0.6,23.8,10,0.052243874,62960,73513,,,0.029232114,0.027812814,
"Pike County, Indiana",0,18125,12411,5.575698977,6.897107405,12.47280638,3352,2.96,146,402,548,16.34844869,42.6,8.8,1.2,97.8,1.4,0.8,0.9,18.9,2,0.016114737,63480,74955,,,0.044925461,0.055572536,
"Porter County, Indiana",0,18127,168041,5.507584459,6.162186609,11.66977107,44440,3.09,2912,7177,10089,22.70252025,34.5,17.7,3.7,93.3,4.5,9.8,1.8,14,233,0.138656637,82951,97371,,,0.003277524,0.003667073,
"Posey County, Indiana",0,18129,25589,5.545351518,6.022118879,11.5674704,7281,2.95,313,977,1290,17.71734652,38.4,14,1,97.2,2.7,1.2,0.7,12.1,12,0.04689515,74706,85999,,,0.021670841,0.023534014,
